E_A#1 / keV;N_A#1;E_A#2 / keV;N_A#2;E_A#3 / keV;N_A#3;E_A#4 / keV;N_A#4;E_A#5 / keV;N_A#5;E_A#6 / keV;N_A#6;E_A#7 / keV;N_A#7;E_A#8 / keV;N_A#8;E_A#9 / keV;N_A#9;E_A#10 / keV;N_A#10;E_A#11 / keV;N_A#11;E_A#12 / keV;N_A#12
4,1;313;4,1;187;4,1;315;4,1;296;4,1;282;4,1;264;4,1;124;4,1;86;4,1;24;4,1;153;4,1;38;4,1;325
4,2;275;4,2;340;4,2;285;4,2;342;4,2;346;4,2;258;4,2;116;4,2;78;4,2;29;4,2;169;4,2;37;4,2;323
4,2;323;4,2;724;4,2;322;4,2;328;4,2;309;4,2;277;4,2;124;4,2;79;4,2;16;4,2;165;4,2;39;4,2;314
4,3;317;4,3;1355;4,3;307;4,3;329;4,3;330;4,3;278;4,3;111;4,3;73;4,3;28;4,3;165;4,3;39;4,3;322
4,4;352;4,4;2433;4,4;362;4,4;303;4,4;321;4,4;308;4,4;122;4,4;82;4,4;26;4,4;189;4,4;31;4,4;338
4,5;359;4,5;3446;4,5;355;4,5;341;4,5;364;4,5;316;4,5;122;4,5;69;4,5;24;4,5;201;4,5;29;4,5;348
4,6;350;4,6;4193;4,6;405;4,6;400;4,6;356;4,6;333;4,6;116;4,6;82;4,6;20;4,6;199;4,6;34;4,6;387
4,7;380;4,7;4557;4,7;433;4,7;358;4,7;364;4,7;344;4,7;105;4,7;79;4,7;18;4,7;190;4,7;33;4,7;376
4,8;400;4,8;4316;4,8;412;4,8;362;4,8;372;4,8;334;4,8;122;4,8;75;4,8;14;4,8;219;4,8;39;4,8;390
4,8;388;4,8;3922;4,8;421;4,8;366;4,8;345;4,8;363;4,8;132;4,8;70;4,8;30;4,8;234;4,8;33;4,8;394
4,9;331;4,9;3234;4,9;363;4,9;352;4,9;351;4,9;363;4,9;121;4,9;65;4,9;23;4,9;215;4,9;68;4,9;402
5;421;5;2484;5;379;5;394;5;395;5;322;5;105;5;78;5;23;5;214;5;107;5;388
5,1;370;5,1;1895;5,1;403;5,1;354;5,1;402;5,1;362;5,1;106;5,1;74;5,1;25;5,1;221;5,1;197;5,1;367
5,2;360;5,2;1264;5,2;405;5,2;425;5,2;422;5,2;357;5,2;117;5,2;82;5,2;17;5,2;222;5,2;341;5,2;385
5,3;388;5,3;842;5,3;388;5,3;428;5,3;382;5,3;405;5,3;116;5,3;80;5,3;18;5,3;200;5,3;547;5,3;389
5,4;376;5,4;512;5,4;393;5,4;424;5,4;401;5,4;350;5,4;106;5,4;94;5,4;18;5,4;230;5,4;850;5,4;384
5,5;383;5,5;295;5,5;399;5,5;437;5,5;358;5,5;395;5,5;126;5,5;91;5,5;35;5,5;255;5,5;1008;5,5;405
5,5;394;5,5;175;5,5;480;5,5;488;5,5;447;5,5;412;5,5;120;5,5;93;5,5;23;5,5;280;5,5;1096;5,5;439
5,6;473;5,6;87;5,6;488;5,6;459;5,6;446;5,6;417;5,6;111;5,6;81;5,6;29;5,6;267;5,6;1029;5,6;480
5,7;612;5,7;35;5,7;645;5,7;512;5,7;426;5,7;370;5,7;117;5,7;55;5,7;22;5,7;348;5,7;943;5,7;636
5,8;995;5,8;17;5,8;1082;5,8;495;5,8;450;5,8;416;5,8;122;5,8;82;5,8;19;5,8;403;5,8;761;5,8;1017
5,9;1736;5,9;13;5,9;2008;5,9;505;5,9;462;5,9;420;5,9;142;5,9;76;5,9;19;5,9;618;5,9;622;5,9;1771
6;3206;6;10;6;3582;6;503;6;497;6;423;6;132;6;87;6;24;6;896;6;496;6;3359
6,1;5291;6,1;6;6,1;6371;6,1;474;6,1;496;6,1;437;6,1;124;6,1;79;6,1;29;6,1;1512;6,1;428;6,1;5734
6,1;8024;6,1;7;6,1;9928;6,1;481;6,1;509;6,1;445;6,1;140;6,1;75;6,1;20;6,1;2247;6,1;381;6,1;8848
6,2;10342;6,2;11;6,2;13300;6,2;518;6,2;496;6,2;436;6,2;149;6,2;91;6,2;20;6,2;2887;6,2;349;6,2;12116
6,3;12018;6,3;8;6,3;15831;6,3;532;6,3;492;6,3;429;6,3;147;6,3;104;6,3;29;6,3;3601;6,3;358;6,3;15011
6,4;12131;6,4;16;6,4;16534;6,4;493;6,4;523;6,4;440;6,4;149;6,4;98;6,4;40;6,4;3779;6,4;365;6,4;15869
6,5;11483;6,5;17;6,5;15940;6,5;560;6,5;444;6,5;471;6,5;152;6,5;102;6,5;34;6,5;3737;6,5;361;6,5;15722
6,6;10117;6,6;16;6,6;14032;6,6;568;6,6;552;6,6;508;6,6;150;6,6;88;6,6;29;6,6;3467;6,6;318;6,6;14268
6,7;8569;6,7;10;6,7;11679;6,7;739;6,7;523;6,7;514;6,7;186;6,7;96;6,7;29;6,7;2957;6,7;298;6,7;12145
6,7;6913;6,7;13;6,7;9308;6,7;1112;6,7;500;6,7;499;6,7;133;6,7;109;6,7;23;6,7;2542;6,7;232;6,7;9989
6,8;5644;6,8;23;6,8;7444;6,8;1897;6,8;472;6,8;518;6,8;136;6,8;84;6,8;35;6,8;2342;6,8;194;6,8;7939
6,9;4578;6,9;18;6,9;5869;6,9;3566;6,9;531;6,9;538;6,9;160;6,9;109;6,9;33;6,9;2381;6,9;150;6,9;6427
7;3700;7;19;7;4748;7;6045;7;575;7;549;7;156;7;89;7;33;7;2752;7;131;7;4834
7,1;2913;7,1;19;7,1;3637;7,1;9749;7,1;673;7,1;499;7,1;142;7,1;99;7,1;34;7,1;3880;7,1;109;7,1;3841
7,2;2433;7,2;26;7,2;2802;7,2;13964;7,2;841;7,2;524;7,2;171;7,2;92;7,2;26;7,2;5470;7,2;94;7,2;2956
7,3;1897;7,3;23;7,3;2238;7,3;17907;7,3;1207;7,3;559;7,3;187;7,3;97;7,3;37;7,3;7297;7,3;93;7,3;2432
7,3;1571;7,3;30;7,3;1705;7,3;20761;7,3;2056;7,3;569;7,3;195;7,3;108;7,3;31;7,3;9061;7,3;68;7,3;1840
7,4;1143;7,4;19;7,4;1299;7,4;21557;7,4;3620;7,4;576;7,4;206;7,4;124;7,4;37;7,4;10098;7,4;72;7,4;1438
7,5;906;7,5;23;7,5;872;7,5;20232;7,5;6133;7,5;603;7,5;212;7,5;122;7,5;39;7,5;10025;7,5;46;7,5;969
7,6;635;7,6;20;7,6;561;7,6;17765;7,6;9958;7,6;677;7,6;206;7,6;114;7,6;33;7,6;9654;7,6;42;7,6;666
7,7;501;7,7;13;7,7;330;7,7;14722;7,7;14640;7,7;802;7,7;182;7,7;110;7,7;40;7,7;8570;7,7;43;7,7;403
7,8;451;7,8;10;7,8;205;7,8;11684;7,8;19098;7,8;1100;7,8;192;7,8;115;7,8;20;7,8;7370;7,8;37;7,8;235
7,9;351;7,9;15;7,9;129;7,9;8924;7,9;22212;7,9;1800;7,9;154;7,9;88;7,9;36;7,9;6471;7,9;23;7,9;172
8;419;8;15;8;118;8;7042;8;23647;8;3066;8;152;8;106;8;28;8;5589;8;19;8;118
8;555;8;16;8;91;8;5609;8;22965;8;5318;8;173;8;100;8;31;8;4834;8;16;8;89
8,1;1011;8,1;6;8,1;70;8,1;4867;8,1;20258;8,1;8135;8,1;150;8,1;97;8,1;33;8,1;4225;8,1;7;8,1;86
8,2;1637;8,2;8;8,2;63;8,2;4188;8,2;17227;8,2;12683;8,2;179;8,2;99;8,2;36;8,2;3624;8,2;7;8,2;63
8,3;2664;8,3;9;8,3;70;8,3;3716;8,3;13599;8,3;17338;8,3;155;8,3;96;8,3;21;8,3;3136;8,3;12;8,3;57
8,4;3780;8,4;5;8,4;52;8,4;3013;8,4;10424;8,4;21209;8,4;181;8,4;110;8,4;28;8,4;2585;8,4;10;8,4;63
8,5;4696;8,5;10;8,5;72;8,5;2407;8,5;7940;8,5;23696;8,5;159;8,5;111;8,5;27;8,5;1993;8,5;9;8,5;65
8,6;5343;8,6;5;8,6;64;8,6;1912;8,6;6250;8,6;24404;8,6;160;8,6;92;8,6;30;8,6;1484;8,6;8;8,6;60
8,6;5233;8,6;12;8,6;51;8,6;1286;8,6;5080;8,6;22259;8,6;181;8,6;88;8,6;16;8,6;984;8,6;4;8,6;62
8,7;4807;8,7;8;8,7;58;8,7;960;8,7;4737;8,7;19623;8,7;175;8,7;92;8,7;34;8,7;699;8,7;2;8,7;65
8,8;4230;8,8;10;8,8;66;8,8;661;8,8;4345;8,8;16277;8,8;165;8,8;103;8,8;18;8,8;445;8,8;4;8,8;59
8,9;3314;8,9;8;8,9;62;8,9;427;8,9;3917;8,9;12740;8,9;205;8,9;79;8,9;27;8,9;309;8,9;7;8,9;53
9;2531;9;5;9;51;9;317;9;3393;9;9581;9;131;9;99;9;21;9;188;9;8;9;74
9,1;1819;9,1;6;9,1;67;9,1;262;9,1;2801;9,1;7133;9,1;180;9,1;81;9,1;14;9,1;130;9,1;4;9,1;59
9,2;1349;9,2;7;9,2;72;9,2;209;9,2;2158;9,2;5615;9,2;162;9,2;117;9,2;19;9,2;95;9,2;5;9,2;73
9,2;887;9,2;5;9,2;67;9,2;187;9,2;1558;9,2;4949;9,2;212;9,2;121;9,2;31;9,2;84;9,2;5;9,2;89
9,3;819;9,3;8;9,3;106;9,3;155;9,3;1162;9,3;4522;9,3;216;9,3;109;9,3;24;9,3;61;9,3;6;9,3;89
9,4;860;9,4;8;9,4;101;9,4;152;9,4;817;9,4;4305;9,4;269;9,4;130;9,4;32;9,4;66;9,4;8;9,4;91
9,5;828;9,5;6;9,5;122;9,5;119;9,5;608;9,5;4199;9,5;296;9,5;158;9,5;56;9,5;56;9,5;5;9,5;109
9,6;788;9,6;9;9,6;152;9,6;132;9,6;413;9,6;3770;9,6;329;9,6;202;9,6;38;9,6;72;9,6;5;9,6;149
9,7;772;9,7;11;9,7;193;9,7;154;9,7;319;9,7;3088;9,7;355;9,7;226;9,7;51;9,7;52;9,7;10;9,7;161
9,8;634;9,8;10;9,8;215;9,8;125;9,8;293;9,8;2532;9,8;333;9,8;196;9,8;48;9,8;51;9,8;8;9,8;184
9,8;545;9,8;7;9,8;211;9,8;112;9,8;264;9,8;1934;9,8;320;9,8;216;9,8;54;9,8;46;9,8;11;9,8;175
9,9;423;9,9;14;9,9;212;9,9;123;9,9;215;9,9;1425;9,9;306;9,9;193;9,9;52;9,9;56;9,9;12;9,9;217
10;299;10;5;10;219;10;134;10;190;10;1018;10;250;10;167;10;49;10;39;10;11;10;174
10,1;262;10,1;5;10,1;200;10,1;117;10,1;164;10,1;692;10,1;224;10,1;151;10,1;44;10,1;40;10,1;5;10,1;172
10,2;177;10,2;5;10,2;179;10,2;124;10,2;178;10,2;549;10,2;206;10,2;117;10,2;33;10,2;54;10,2;5;10,2;171
10,3;151;10,3;8;10,3;137;10,3;125;10,3;162;10,3;420;10,3;186;10,3;113;10,3;26;10,3;63;10,3;3;10,3;175
10,4;122;10,4;1;10,4;124;10,4;118;10,4;180;10,4;302;10,4;170;10,4;114;10,4;33;10,4;55;10,4;8;10,4;162
10,4;119;10,4;2;10,4;107;10,4;116;10,4;172;10,4;266;10,4;155;10,4;92;10,4;33;10,4;75;10,4;4;10,4;115
10,5;100;10,5;3;10,5;95;10,5;108;10,5;170;10,5;257;10,5;168;10,5;92;10,5;24;10,5;78;10,5;7;10,5;113
10,6;82;10,6;0;10,6;93;10,6;121;10,6;167;10,6;223;10,6;167;10,6;87;10,6;22;10,6;66;10,6;6;10,6;95
10,7;94;10,7;6;10,7;81;10,7;151;10,7;149;10,7;233;10,7;144;10,7;74;10,7;19;10,7;78;10,7;8;10,7;75
10,8;87;10,8;7;10,8;84;10,8;190;10,8;135;10,8;186;10,8;153;10,8;110;10,8;18;10,8;109;10,8;7;10,8;57
10,9;71;10,9;6;10,9;61;10,9;176;10,9;149;10,9;178;10,9;162;10,9;108;10,9;23;10,9;90;10,9;11;10,9;72
11;64;11;2;11;61;11;195;11;144;11;210;11;176;11;118;11;22;11;91;11;7;11;54
11,1;56;11,1;4;11,1;52;11,1;236;11,1;152;11,1;177;11,1;213;11,1;118;11,1;24;11,1;90;11,1;2;11,1;57
11,1;75;11,1;6;11,1;49;11,1;271;11,1;141;11,1;183;11,1;219;11,1;150;11,1;35;11,1;108;11,1;3;11,1;53
11,2;87;11,2;8;11,2;54;11,2;315;11,2;148;11,2;193;11,2;285;11,2;154;11,2;36;11,2;99;11,2;7;11,2;48
11,3;75;11,3;7;11,3;54;11,3;349;11,3;172;11,3;158;11,3;280;11,3;175;11,3;37;11,3;115;11,3;4;11,3;56
11,4;86;11,4;6;11,4;48;11,4;345;11,4;140;11,4;156;11,4;311;11,4;202;11,4;45;11,4;116;11,4;4;11,4;52
11,5;86;11,5;10;11,5;44;11,5;312;11,5;185;11,5;196;11,5;316;11,5;186;11,5;54;11,5;127;11,5;8;11,5;46
11,6;114;11,6;6;11,6;47;11,6;358;11,6;209;11,6;184;11,6;305;11,6;205;11,6;52;11,6;116;11,6;9;11,6;53
11,7;90;11,7;13;11,7;51;11,7;342;11,7;250;11,7;196;11,7;272;11,7;189;11,7;47;11,7;105;11,7;5;11,7;45
11,7;124;11,7;6;11,7;56;11,7;282;11,7;262;11,7;186;11,7;259;11,7;159;11,7;41;11,7;118;11,7;9;11,7;43
11,8;110;11,8;12;11,8;36;11,8;258;11,8;301;11,8;178;11,8;215;11,8;152;11,8;51;11,8;96;11,8;9;11,8;51
11,9;131;11,9;7;11,9;43;11,9;252;11,9;349;11,9;193;11,9;223;11,9;138;11,9;44;11,9;93;11,9;11;11,9;38
12;146;12;6;12;45;12;228;12;406;12;172;12;203;12;115;12;35;12;96;12;5;12;50
12,1;140;12,1;7;12,1;49;12,1;207;12,1;423;12,1;167;12,1;178;12,1;99;12,1;34;12,1;83;12,1;5;12,1;44
12,2;101;12,2;8;12,2;43;12,2;187;12,2;424;12,2;174;12,2;160;12,2;84;12,2;22;12,2;74;12,2;3;12,2;47
12,3;112;12,3;7;12,3;55;12,3;166;12,3;474;12,3;201;12,3;180;12,3;94;12,3;29;12,3;71;12,3;9;12,3;49
12,3;103;12,3;4;12,3;52;12,3;132;12,3;419;12,3;213;12,3;172;12,3;84;12,3;30;12,3;73;12,3;8;12,3;63
12,4;93;12,4;8;12,4;48;12,4;126;12,4;404;12,4;204;12,4;147;12,4;81;12,4;33;12,4;44;12,4;7;12,4;51
12,5;77;12,5;10;12,5;56;12,5;138;12,5;377;12,5;255;12,5;155;12,5;82;12,5;23;12,5;44;12,5;7;12,5;58
12,6;76;12,6;10;12,6;34;12,6;94;12,6;348;12,6;328;12,6;159;12,6;105;12,6;36;12,6;39;12,6;5;12,6;55
12,7;68;12,7;6;12,7;48;12,7;91;12,7;320;12,7;341;12,7;143;12,7;75;12,7;20;12,7;34;12,7;8;12,7;49
12,8;78;12,8;8;12,8;41;12,8;76;12,8;268;12,8;375;12,8;157;12,8;74;12,8;19;12,8;40;12,8;5;12,8;52
12,9;63;12,9;9;12,9;39;12,9;86;12,9;253;12,9;414;12,9;175;12,9;77;12,9;25;12,9;42;12,9;8;12,9;32
12,9;67;12,9;11;12,9;49;12,9;97;12,9;260;12,9;435;12,9;179;12,9;90;12,9;26;12,9;36;12,9;8;12,9;46
13;65;13;6;13;40;13;80;13;197;13;448;13;169;13;98;13;30;13;33;13;10;13;37
13,1;69;13,1;5;13,1;26;13,1;80;13,1;223;13,1;468;13,1;178;13,1;101;13,1;30;13,1;32;13,1;5;13,1;31
13,2;63;13,2;8;13,2;23;13,2;80;13,2;198;13,2;473;13,2;170;13,2;113;13,2;27;13,2;38;13,2;8;13,2;35
13,3;55;13,3;6;13,3;21;13,3;44;13,3;177;13,3;450;13,3;170;13,3;106;13,3;25;13,3;32;13,3;4;13,3;29
13,4;46;13,4;9;13,4;20;13,4;80;13,4;147;13,4;411;13,4;195;13,4;89;13,4;27;13,4;36;13,4;6;13,4;15
13,5;35;13,5;6;13,5;20;13,5;63;13,5;117;13,5;400;13,5;202;13,5;121;13,5;28;13,5;35;13,5;13;13,5;21
13,6;42;13,6;10;13,6;14;13,6;72;13,6;101;13,6;334;13,6;192;13,6;131;13,6;32;13,6;41;13,6;8;13,6;17
13,6;32;13,6;8;13,6;15;13,6;66;13,6;122;13,6;349;13,6;211;13,6;103;13,6;41;13,6;34;13,6;8;13,6;20
13,7;42;13,7;9;13,7;11;13,7;64;13,7;109;13,7;269;13,7;219;13,7;106;13,7;30;13,7;38;13,7;10;13,7;12
13,8;44;13,8;6;13,8;11;13,8;76;13,8;111;13,8;276;13,8;244;13,8;86;13,8;28;13,8;29;13,8;11;13,8;10
13,9;29;13,9;6;13,9;10;13,9;69;13,9;96;13,9;268;13,9;229;13,9;104;13,9;34;13,9;39;13,9;8;13,9;16
14;34;14;8;14;8;14;73;14;86;14;220;14;209;14;104;14;28;14;35;14;21;14;21
14,1;36;14,1;9;14,1;7;14,1;80;14,1;81;14,1;209;14,1;224;14,1;99;14,1;41;14,1;38;14,1;7;14,1;9
