wert,wert,wert
phi,E,dE
30,17.40,0.17
45,17.31,0.22
60,17.23,0.20
75,17.13,0.21
90,16.92,0.18
105,16.79,0.23
120,16.65,0.19
135,16.50,0.22
150,16.42,0.23
